,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2021,,,,,,,,,,,187.1074,199.0525
2022,219.0019,216.3945,223.9567,233.7192,232.1717,236.63,250.9166,254.1176,264.5669,243.776,247.8439,254.6445
2023,252.1982,250.859,245.4836,255.4472,267.5016,264.3744,266.7589,256.6732,265.969,245.0364,248.9252,255.1729
2024,252.6315,251.1276,245.6688,255.6004,267.6381,264.4755,266.7966,256.6824,265.9743,245.041,,
,,,,,,,,,,,,
Nov-21,187.1074,May-23,267.5016,,,,,,,,,
Dec-21,199.0525,Jun-23,264.3744,,,,,,,,,
Jan-22,219.0019,Jul-23,266.7589,,,,,,,,,
Feb-22,216.3945,Aug-23,256.6732,,,,,,,,,
Mar-22,223.9567,Sep-23,265.969,,,,,,,,,
Apr-22,233.7192,Oct-23,245.0364,,,,,,,,,
May-22,232.1717,Nov-23,248.9252,,,,,,,,,
Jun-22,236.63,Dec-23,255.1729,,,,,,,,,
Jul-22,250.9166,Jan-24,252.6315,,,,,,,,,
Aug-22,254.1176,Feb-24,251.1276,,,,,,,,,
Sep-22,264.5669,Mar-24,245.6688,,,,,,,,,
Oct-22,243.776,Apr-24,255.6004,,,,,,,,,
Nov-22,247.8439,May-24,267.6381,,,,,,,,,
Dec-22,254.6445,Jun-24,264.4755,,,,,,,,,
Jan-23,252.1982,Jul-24,266.7966,,,,,,,,,
Feb-23,250.859,Aug-24,256.6824,,,,,,,,,
Mar-23,245.4836,Sep-24,265.9743,,,,,,,,,
Apr-23,255.4472,Oct-24,245.041,,,,,,,,,
